Author: We92   
Nucleus: 32S   
Reaction:  (e.ep)    
Type: pickup   
BA  8.86395100000004    
BA1  7.29655699999995    
E n l JP C2S
0 2 0  0.5   0.79 
 1266.13  1 2  1.5   0.52 
 2233.6  1 2  2.5   1.56 
3295 1 2  2.5   0.38 
 4190.9  1 2  2.5   0.76 
 4783.4  1 2  2.5   0.31 
 5256.8  2 0  0.5   0.1 
 6336.6  2 0  0.5   0.1 
