Author: Ar86   
Nucleus: 32S   
Reaction:  (g.pg)    
Type: pickup   
BA  8.86395100000004    
BA1  7.29655699999995    
E n l JP C2S
0 2 0  0.5  1
 1266.13  1 2  1.5   0.75 
 2233.6  1 2  2.5   2.1 
 3134.3  2 0  0.5   0.13 
3295 1 2  2.5   0.6 
 4190.9  1 2  2.5   0.6 
 4431.2  1 3  -3.5   0.04 
 4783.4  1 2  2.5   0.2 
 5256.8  2 0  0.5   0.1 
5910 1 2  2.5   0.15 
 5987.9  1 2  1.5   0.14 
 6336.6  2 0  0.5   0.11 
7158 1 2  2.5   0.79 
7896 2 1  -0.5   0.82 
