Author: Jo69   
Nucleus: 30Si   
Reaction:    (t.4He)    
Type: pickup   
BA:  8.520654    
BA1:  8.348464    
E n l JP C2S
0 1 2  2.5   3.264 
 1398.05  2 0  0.5   0.31 
 2865.7  1 2  1.5   0.323 
 3061.81  1 2  2.5   1.322 
 3184.54  1 3  2.5   0.15 
3433 2 0  0.5   0.111 
 3641.5  1 2  2.5   0.173 
 3671.7  1 2  2.5   0.101 
 3986.2  1 3  -3.5   0.082 
 4219.6  1 2  2.5   0.163 


