Author: Be66   
Nucleus: 30Si   
Reaction:  (3He.d)    
Type: stripping   
BA:  8.520654    
BA1:  8.481167    
E n l JP C2S
0 2 0  0.5   0.68 
 1266.13  1 2  1.5   0.675 
 2233.6  1 2  2.5   0.065 
 3134.3  2 0  0.5   0.02 
 4260.4  1 2  1.5   0.0375 
 4431.2  1 3  -3.5   0.5075 
 4592.5  1 2  1.5   0.015 
 5015.2  2 1  -1.5   0.235 
5256 2 0  0.5   0.048 
 6380.8  1 2  1.5   0.2375 
 6501.8  1 1  -0.5   0.1325 
6610 2 1  -1.5   0.0275 
 7141.1  2 0  0.5   0.225 


