Author: Ma74   
Nucleus: 28Si   
Reaction:  (d.3He)    
Type: pickup   
BA:  7.418    
BA1:  7.127    
E n l JP C2S
0 1 2  2.5   3.39 
 843.76  2 0  0.5   0.79 
 1014.56  1 2  1.5   0.48 
 2212.01  1 4  3.5   0.3 
 2734.9  1 2  2.5   0.41 
2982 1 2  1.5   0.53 
 3680.4  2 0  0.5   0.06 
 4054.6  1 1  -0.5   1.51 
 4410.2  1 2  2.5   0.29 
 5155.6  1 1  -1.5   1.36 


