Author: Wi68   
Nucleus: 28Si   
Reaction:  (d.3He)    
Type: pickup   
BA:  7.418    
BA1:  7.127    
E n l JP C2S
0 1 2  2.5   3.5 
 843.76  2 0  0.5   0.64 
 1014.56  1 2  1.5   0.66 
 2734.9  1 2  2.5   0.68 
2982 1 2  1.5   0.4 
 3680.4  2 0  0.5   0.02 
 4054.6  1 1  -0.5   1.8 
 4410.2  1 2  2.5   0.35 
 5155.6  1 1  -1.5   1.2 
