Author: Kh88-norm   
Nucleus: 34S   
Reaction:  (d.3He)    
Type: pickup   
E n l JP C2S
0 2 0  0.5   1.2376 
 1431.6  1 2  1.5   0.6643 
 1847.6  1 2  2.5   1.1466 
 2538.3  1 2  1.5   0.0091 
 3275.3  1 2  1.5   0.1365 
 3490.8  1 2  2.5   0.3276 
4048 1 2  2.5   1.3468 
5049 1 2  2.5   1.7381 
5674 2 0  0.5   0.0546 
5970 1;2 2;0  2.5;0.5  0.25;0.15
6432 1 2  2.5   0.3822 
6820 1 2  2.5   0.3822 
7146 1 2  2.5   0.546 
7564 1 1  -0.5   0.36400000000000005 
8510 1 1  -0.5   0.455 
