Author: Gr69-norm   
Nucleus: 34S   
Reaction:  (3He.d)    
Type: stripping   
E n l JP C2S
0 1 2  1.5   0.7488 
 1219.29  2 0  0.5   0.13520000000000001 
 2693.75  1 2  1.5   0.0156 
 3002.3  1 2  2.5   0.02426666666666667 
 3162.8  1 3  -3.5   0.3744 
 3967.5  2 0  0.5   0.0156 
4059 2 1  -1.5   0.0988 
4178 2 1  -1.5   0.221 
 5403.5  2 1  -1.5   0.0182 
5655 1 2  1.5   0.1222 
5683 2 1  -1.5   0.0286 
5758 2 1  -1.5   0.0312 
