Author: Ab77_1   
Nucleus: 34S   
Reaction:  (d.p)    
Type: stripping   
E n l JP C2S
0 1 2  1.5   0.56 
 1572.378  2 0  0.5   0.27 
 1991.28  1 3  -3.5   1.16 
 2347.789  2 1  -1.5   0.56 
 2717.00  1 2  2.5   0.03 
 2938.64  1 2  1.5   0.1 
 3421.1  1 2  2.5   0.04 
 3801.958  2 1  -1.5   0.1 
 4189.280  2 1  -0.5   0.15 
 4903.32  2 1  -0.5   0.48 
 4963.09  2 1  -1.5   0.19 
5058 1 3  -3.5   0.03 
