Author: Ab77+Ca84   
Nucleus: 34S   
Reaction:  (d.p)    
Type: stripping   
E n l JP C2S
0 1 2  1.5   0.48 
 1572.378  2 0  0.5   0.18 
 1991.28  1 3  -3.5   0.73 
 2347.789  2 1  -1.5   0.46 
 2717.00  1 2  2.5   0.02 
 3421.1  1 2  2.5   0.03 
 3801.958  2 1  -1.5   0.08 
 4189.280  2 1  -0.5   0.13 
 4903.32  2 1  -0.5   0.41 
 4963.09  2 1  -1.5   0.17 
5058 1 3  -3.5   0.03 
 7275.99  2 0  0.5   0.024 
 7331.06  2 0  0.5   0.012 
 7442.21  2 0  0.5   0.002 
 7798.07  2 0  0.5   0.005 
