Author: 1984Mc   
Nucleus: 30Si   
Reaction:  (3He.4He)    
Type: pickup   
BA  10.609205    
BA1  8.47358299999999    
E n l JP C2S
0 2 0  0.5   0.83 
 1273.387  1 2  1.5   0.54 
 2028.16  1 2  2.5   1.15 
 2425.97  1 2  1.5   0.18 
 3067.13  1 2  2.5   0.08 
 3623.49  1 3  -3.5   0.07 
 4895.2  1 2  2.5   0.83 
6712 1 2  2.5   0.45 
8331 1 2  2.5   1.33 


