Author: Ha75   
Nucleus: 30Si   
Reaction:  (p.d)    
Type: pickup   
BA  10.609205    
BA1  8.47358299999999    
E n l JP C2S
0 2 0  0.5   0.78 
 1273.387  1 2  1.5   0.77 
 2028.16  1 2  2.5   1.83 
 2425.97  1 2  1.5   0.15 
 3067.13  1 2  2.5   0.08 
 3623.49  1 3  -3.5   0.1 
 4840.38  2 0  0.5   0.14 
 4895.2  1 2  2.5   0.92 
6712 1 2  2.5   0.44 
7197 1 2  2.5   0.1 
7767 1 2  2.5   0.25 
8331 1 2  2.5   2.36 
9630 2 0  0.5   0.21 


