Author: De70+67   
Nucleus: 30Si   
Reaction:  (3He.4He)    
Type: pickup   
BA  10.609205    
BA1  8.47358299999999    
E n l JP C2S
0 2 0  0.5   0.7 
 1273.387  1 2  1.5   1.2 
 2028.16  1 2  2.5   1.7 
 2425.97  1 2  1.5   0.21 
 3067.13  1 2  2.5   0.18 
 3623.49  1 3  -3.5   0.11 
 4895.2  1 2  2.5  1
6522 1 2  2.5   0.08 
6712 1 2  2.5   0.4 
7197 1 2  2.5   0.2 
8331 1 2  2.5   1.9 
9667 2 0  0.5   0.4 
