Author: Ko68   
Nucleus: 28Si   
Reaction:  (p.d)    
Type: pickup   
BA:  7.418    
BA1:  7.508573    
E n l JP C2S
0 1 2  2.5   3.45 
 780.9  2 0  0.5   0.64 
 957.4  1 2  1.5   0.34 
 2647.6  1 2  2.5   0.47 
 2866.3  1 2  1.5   0.81 
 4138.1  1 1  -0.5   1.2 
 4289.2  1 2  2.5   0.34 
5227 1 1  -1.5   1.67 
6340 1 2  1.5   0.45 
