Author: Ma07+Ka75   
Nucleus: 32S   
Reaction:  (p.d)    
Type: pickup   
BA  15.044328    
BA1  13.05459    
E n l JP C2S
0 2 0  0.5  1
 1248.87  1 2  1.5   1.25 
 2234.29  1 2  2.5   2.8 
 3077.26  2 0  0.5   0.01 
 3284.67  1 2  2.5   0.74 
4080 1 2  2.5   0.77 
 4450.65  1 3  -3.5   0.15 
4720 1 2  2.5   0.4 
 5157.5  2 0  0.5   0.11 
5518 1 2  1.5   0.1 
5775 1 2  2.5   0.17 
5896 1 2  2.5   0.15 
 6255.3  2 0  0.5   0.12 
7037 1 2  2.5   0.79 
7907 2 0  0.5   0.06 
8498 2 0  0.5   0.05 
