Author: Bh72_norm   
Nucleus: 32S   
Reaction:  (3He.4He)    
Type: pickup   
BA  15.044328    
BA1  13.05459    
E n l JP C2S
0 2 0  0.5   0.7 
 1248.87  1 2  1.5   0.95 
 2234.29  1 2  2.5   2.25 
 3284.67  1 2  2.5   0.41 
4080 1 2  2.5   0.85 
 4720.2  1 2  2.5   0.34 
4971 2 1  -1.5   0.045 
 5157.5  2 0  0.5   0.24 
5775 1 2  2.5   0.21 
5896 1 2  2.5   0.15 
 6255.3  2 0  0.5   0.17 
6975 2 0  0.5   0.04 
7037 1 2  2.5   1.4 
7156 1 2  2.5   0.16 
